No.,Id,SMILES,Mutagenicity (Ames test) CONSENSUS model - assessment,Mutagenicity (Ames test) CONSENSUS model - prediction,Carcinogenicity model (CAESAR) - assessment,Carcinogenicity model (CAESAR) - prediction,Developmental Toxicity model (CAESAR) - assessment,Developmental Toxicity model (CAESAR) - prediction,Total body elimination half-life (QSARINS) - assessment,Total body elimination half-life (QSARINS) - prediction [Log(h)],NOAEL (IRFMN/CORAL) - assessment,NOAEL (IRFMN/CORAL) - prediction [-log(mg/kg)]
199,Molecule 199,O=C(Nc1ccccc1CCC2CCCC[NH+]2(C))c3ccc(OC)cc3,NON-Mutagenic (Consensus score: 0.75),NON-Mutagenic,NON-Carcinogen (moderate reliability),NON-Carcinogen,NON-Toxicant (good reliability),NON-Toxicant,0.977 (moderate reliability),0.977,-0.319 (low reliability),-0.319
200,Molecule 200,O=C(Nc1ccccc1CCC2CCCC[NH+]2(C))c3ccc(OC)cc3,NON-Mutagenic (Consensus score: 0.75),NON-Mutagenic,NON-Carcinogen (moderate reliability),NON-Carcinogen,NON-Toxicant (good reliability),NON-Toxicant,0.977 (moderate reliability),0.977,-0.319 (low reliability),-0.319
324,Molecule 324,O=C(Nc1ccccc1CCC2CCCC[NH+]2(C))c3ccc(OC)cc3,NON-Mutagenic (Consensus score: 0.75),NON-Mutagenic,NON-Carcinogen (moderate reliability),NON-Carcinogen,NON-Toxicant (good reliability),NON-Toxicant,0.977 (moderate reliability),0.977,-0.319 (low reliability),-0.319
325,Molecule 325,O=C(Nc1ccccc1CCC2CCCC[NH+]2(C))c3ccc(OC)cc3,NON-Mutagenic (Consensus score: 0.75),NON-Mutagenic,NON-Carcinogen (moderate reliability),NON-Carcinogen,NON-Toxicant (good reliability),NON-Toxicant,0.977 (moderate reliability),0.977,-0.319 (low reliability),-0.319
1,Molecule 1,n1ccccc1CC[NH2+]C,NON-Mutagenic (Consensus score: 0.75),NON-Mutagenic,NON-Carcinogen (moderate reliability),NON-Carcinogen,NON-Toxicant (low reliability),NON-Toxicant,0.919 (moderate reliability),0.919,-0.527 (low reliability),-0.527
20,Molecule 20,O=C(N(CC)CC)C2(c1ccccc1)(CC2(C[NH3+])),NON-Mutagenic (Consensus score: 0.5),NON-Mutagenic,NON-Carcinogen (moderate reliability),NON-Carcinogen,NON-Toxicant (low reliability),NON-Toxicant,0.643 (good reliability),0.643,-0.776 (low reliability),-0.776
77,Molecule 77,O=C(c1ccc2OCOc2(c1))C(C)[NH3+],NON-Mutagenic (Consensus score: 0.5),NON-Mutagenic,NON-Carcinogen (moderate reliability),NON-Carcinogen,NON-Toxicant (low reliability),NON-Toxicant,0.538 (moderate reliability),0.538,-1.526 (low reliability),-1.526
155,Molecule 155,O=C(N(CC)CC)C2(c1ccccc1)(CC2(C[NH3+])),NON-Mutagenic (Consensus score: 0.5),NON-Mutagenic,NON-Carcinogen (moderate reliability),NON-Carcinogen,NON-Toxicant (low reliability),NON-Toxicant,0.643 (good reliability),0.643,-0.776 (low reliability),-0.776
281,Molecule 281,O=C(N(CC)CC)C2(c1ccccc1)(CC2(C[NH3+])),NON-Mutagenic (Consensus score: 0.5),NON-Mutagenic,NON-Carcinogen (moderate reliability),NON-Carcinogen,NON-Toxicant (low reliability),NON-Toxicant,0.643 (good reliability),0.643,-0.776 (low reliability),-0.776
105,Molecule 105,O=C(c1ccc(F)cc1)CCC[NH+]3CCC4N5c2c(cccc2C4(C3))N(C)CC5,NON-Mutagenic (Consensus score: 0.425),NON-Mutagenic,NON-Carcinogen (moderate reliability),NON-Carcinogen,NON-Toxicant (low reliability),NON-Toxicant,1.07 (good reliability),1.07,0.216 (low reliability),0.216
